Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JNJ,2/14/2020,150.559998,150.639999,149.149994,150.130005,143.497559,5716300
JNJ,2/18/2020,150.470001,150.740005,149.059998,149.139999,142.551285,7230700
JNJ,2/19/2020,149.210007,149.759995,148.580002,148.940002,142.360138,6115200
JNJ,2/20/2020,148.610001,149.380005,147.399994,148.369995,141.815277,7464700
JNJ,2/21/2020,148.089996,150.240005,147.539993,149.929993,143.306396,7776800
JNJ,2/24/2020,146.5,149,145.25,145.910004,140.353302,10588900
JNJ,2/25/2020,145.990005,146.75,143.830002,144.649994,139.141281,10529000
JNJ,2/26/2020,145.350006,146.220001,143.589996,143.679993,138.208221,10093800
JNJ,2/27/2020,142.559998,144.770004,138.949997,139.119995,133.821884,12566700
JNJ,2/28/2020,135.360001,137.289993,130.820007,134.479996,129.358582,19820300
JNJ,3/2/2020,134.779999,140.130005,134.009995,140.020004,134.687607,11508200
JNJ,3/3/2020,140,140.990005,133.100006,135.589996,130.426285,13662500
JNJ,3/4/2020,137.679993,143.639999,137.139999,143.479996,138.015839,10560500
JNJ,3/5/2020,140.800003,142.679993,139.839996,142.009995,136.601822,11339200
JNJ,3/6/2020,138.479996,143.009995,137.410004,142.029999,136.621063,12239100
JNJ,3/9/2020,136.330002,139.679993,134.899994,136.440002,131.243942,13848600
JNJ,3/10/2020,139.970001,141.949997,134.229996,141.639999,136.245895,12698100
JNJ,3/11/2020,138.089996,138.75,131.5,131.800003,126.780647,17763400
JNJ,3/12/2020,127.309998,133.759995,124.5,125.410004,120.63401,21539200
JNJ,3/13/2020,129.320007,134.919998,124.650002,134.289993,129.175797,20084200
JNJ,3/16/2020,123.57,133.759995,122.43,127.129997,122.288498,18877900
JNJ,3/17/2020,128.550003,136.770004,127.809998,136.589996,131.388229,18911800
JNJ,3/18/2020,131.020004,135.669998,128.710007,134.960007,129.820328,17521100
JNJ,3/19/2020,134.990005,134.990005,126.150002,127.050003,122.211563,18482300
JNJ,3/20/2020,126.830002,127.440002,118.129997,119.889999,115.324219,19785100
JNJ,3/23/2020,117,118.559998,109.160004,111.139999,106.90744,20815200
JNJ,3/24/2020,118.760002,119.650002,113.860001,119.18,114.641258,17604800
JNJ,3/25/2020,118.910004,123.959999,116.699997,119.400002,114.852882,13986100
JNJ,3/26/2020,120.57,127.099998,120.379997,126.57,121.749832,15066800
JNJ,3/27/2020,121.650002,127.620003,120.580002,123.160004,118.469681,12133200
JNJ,3/30/2020,128.460007,133.990005,127.5,133.009995,127.944557,21754000
JNJ,3/31/2020,134.990005,135.710007,130.050003,131.130005,126.136185,15746100
JNJ,4/1/2020,127.699997,130.229996,125.5,128.809998,123.904518,12606100
JNJ,4/2/2020,129.119995,134,127.220001,133.149994,128.079239,11594500
JNJ,4/3/2020,132.380005,134.789993,131.580002,134.169998,129.060394,10071200
JNJ,4/6/2020,137.009995,140.970001,135.539993,139.759995,134.437515,14994400
JNJ,4/7/2020,139.860001,142.029999,137.259995,137.479996,132.244339,11567100
JNJ,4/8/2020,137.75,144.130005,137.300003,143.259995,137.804199,10758200
JNJ,4/9/2020,144.009995,145.419998,140.279999,141.229996,135.851532,11125400
JNJ,4/13/2020,140,141.490005,137.839996,139.770004,134.447128,8153200
JNJ,4/14/2020,145.419998,147.419998,144.050003,146.029999,140.468719,13838000
JNJ,4/15/2020,145.550003,147.910004,143.539993,147.660004,142.036652,11962300
JNJ,4/16/2020,148.309998,150.679993,146.440002,149.669998,143.970093,12181700
JNJ,4/17/2020,151.990005,152.300003,149.600006,152.020004,146.230621,10920000
JNJ,4/20/2020,150.929993,153,150.089996,151.669998,145.893951,12226200
JNJ,4/21/2020,150.119995,151.639999,148.570007,149.679993,143.979721,9951100
JNJ,4/22/2020,152.809998,155,151.729996,152.990005,147.163681,11515600
JNJ,4/23/2020,154.25,157,153.699997,155.509995,149.587692,10665000
JNJ,4/24/2020,155.570007,156.300003,153.639999,154.860001,148.962463,8653400
JNJ,4/27/2020,154.809998,156.050003,154,154.289993,148.414154,8924000
JNJ,4/28/2020,151.25,153.100006,150.699997,151.389999,145.624619,8558700
JNJ,4/29/2020,151.380005,151.630005,149.160004,150.240005,144.518402,9285200
JNJ,4/30/2020,148.460007,150.429993,147.160004,150.039993,144.326019,14829600
JNJ,5/1/2020,149.619995,149.669998,146.789993,148.289993,142.642654,7309000
JNJ,5/4/2020,148.770004,149.080002,147.089996,148.270004,142.623444,7198400
JNJ,5/5/2020,149,150.779999,148.639999,149.5,143.80658,6562300
JNJ,5/6/2020,150,150.320007,148.039993,148.080002,142.440674,6191600
JNJ,5/7/2020,149.369995,149.529999,147.130005,147.589996,141.969315,5570500
JNJ,5/8/2020,148.919998,149.179993,147.889999,148.699997,143.037048,4712100
JNJ,5/11/2020,148.449997,150.100006,148.119995,149.110001,143.431427,5887500
JNJ,5/12/2020,150.100006,150.339996,147.029999,147.139999,141.536469,7039200
JNJ,5/13/2020,146.080002,148.949997,146.009995,147.130005,141.52684,6970500
JNJ,5/14/2020,145.389999,147.759995,144.259995,147.639999,142.01741,6871400
JNJ,5/15/2020,147.869995,150.479996,145.660004,150.440002,144.710785,10340400
JNJ,5/18/2020,152.490005,153.619995,150.460007,150.520004,144.78772,7388400
JNJ,5/19/2020,150.100006,151.100006,148.399994,149.020004,143.344864,6107300
JNJ,5/20/2020,149.75,150.389999,147.270004,147.679993,142.055878,5713400
JNJ,5/21/2020,148.5,148.5,145.820007,146.710007,141.122849,6487300
JNJ,5/22/2020,144.570007,146.289993,144.059998,144.369995,139.834595,6140900
JNJ,5/26/2020,146.190002,146.440002,144.300003,144.559998,140.018631,7072300
